Date,temp_max,rainfall,pressure
17/04/1991,44.18,0,97.13
18/04/1991,43.62,0,97.18
19/04/1991,44.23,0,97.13
20/04/1991,43.6,0,97.05
21/04/1991,43.33,0,97.11
22/04/1991,40.94,0,97.21
23/04/1991,41.48,5.53,97.27
24/04/1991,42.22,0,97.22
25/04/1991,42.94,0,97.06
26/04/1991,42.65,0,96.98
27/04/1991,42.31,0,96.97
28/04/1991,43.39,0,96.83
29/04/1991,44.77,0,96.81
30/04/1991,45.67,0,96.76
01/05/1991,45.78,0,96.75
02/05/1991,44.73,0,96.87
03/05/1991,44.9,0,97.03
04/05/1991,44.33,0,97.14
05/05/1991,43.83,0,97.09
06/05/1991,44.19,0.03,97.02
07/05/1991,45.44,0,97.01
08/05/1991,45.61,0,97.06
09/05/1991,45.85,0,96.95
10/05/1991,46.32,0,96.96
11/05/1991,40.12,0,97.22
12/05/1991,43.69,0.01,97.24
13/05/1991,42.79,0,97.2
14/05/1991,43.49,0,97.21
15/05/1991,44.69,0,97.12
16/05/1991,44.87,0,97.1
17/05/1991,44.83,0,97.14
18/05/1991,44.86,0,96.93
19/05/1991,45.37,0,96.93
20/05/1991,45.67,0,97.1
21/05/1991,45.26,0,97.16
22/05/1991,44.59,0,97.01
23/05/1991,45.06,0,96.81
24/05/1991,45.16,0,96.76
25/05/1991,45.69,0,96.75
26/05/1991,46.51,0,96.62
27/05/1991,43.2,0,96.67
28/05/1991,43.2,0,96.64
29/05/1991,44.77,0,96.64
30/05/1991,42.67,0,96.72
31/05/1991,45.15,0,96.53
01/06/1991,43.24,0.14,96.54
02/06/1991,43.23,0.02,96.49
03/06/1991,41.8,0.03,96.48
04/06/1991,40.99,0.46,96.52
05/06/1991,40.51,0.55,96.43
06/06/1991,32.65,24.12,96.26
07/06/1991,32.94,17.13,96.38
08/06/1991,35.55,66.49,96.34
09/06/1991,33.83,0.8,96.33
10/06/1991,35.24,2.49,96.39
